,isbn,name,Unnamed: 2,_merge
17,131190873, Developing Learners,,right_only
18,131216333, Electronic Control Systems in Mechanical and Electrical Engineering,,right_only
19,131402080, Chemistry,,right_only
20,131404121, Kleppner's Advertising Procedure,,right_only
21,131409417, Biological Science,,right_only
22,131409700, Water Supply and Pollution Control,,right_only
